Months Old,Count,Hours,Rounded_Hours
0,30,2.8188888888888886,2.8
1,30,3.5566666666666666,3.6
2,30,5.39,5.4
3,30,8.523333333333333,8.5
4,30,9.696111111111112,9.7
5,30,10.536666666666667,10.5
6,1,6.716666666666667,6.7
