Weeks Old,Days Old,Hours After Night Start Time
0,0,-0.23333333333333334
0,1,7.7
0,2,7.683333333333334
0,3,-0.03333333333333333
0,4,4.15
0,5,3.3333333333333335
0,6,2.4833333333333334
1,7,-0.7833333333333333
1,8,2.75
1,9,-0.13333333333333333
1,10,4.0
1,11,-0.5
1,12,4.016666666666667
1,13,1.9333333333333333
2,14,3.066666666666667
2,15,3.1666666666666665
2,16,3.0
2,17,-0.4
2,18,2.85
2,19,3.183333333333333
2,20,2.7666666666666666
3,21,1.4833333333333334
3,22,-0.5166666666666667
3,23,-0.43333333333333335
3,24,2.7333333333333334
3,25,3.283333333333333
3,26,3.4
3,27,2.8666666666666667
4,28,2.7333333333333334
4,29,-1.2666666666666666
4,30,1.7166666666666666
4,31,1.1166666666666667
4,32,0.7
4,33,-0.8666666666666667
4,34,2.0166666666666666
5,35,-0.06666666666666667
5,36,1.6666666666666667
5,37,-0.85
5,38,-0.8
5,39,0.2833333333333333
5,40,1.4166666666666667
5,41,0.08333333333333333
6,42,1.3666666666666667
6,43,-0.2833333333333333
6,44,-0.6833333333333333
6,45,1.0333333333333334
6,46,0.45
6,47,1.2333333333333334
6,48,0.6666666666666666
7,49,-0.5166666666666667
7,50,-0.5833333333333334
7,51,0.1
7,52,-0.6333333333333333
7,53,1.7333333333333334
7,54,1.25
7,55,0.13333333333333333
8,56,1.3833333333333333
8,57,-0.5833333333333334
8,58,0.7666666666666667
8,59,-1.15
8,60,-0.8666666666666667
8,61,0.13333333333333333
8,62,-0.4
9,63,-0.6833333333333333
9,64,0.3333333333333333
9,65,0.7
9,66,1.5
9,67,2.25
9,68,-0.35
9,69,0.8166666666666667
10,70,0.7166666666666667
10,71,-0.8666666666666667
10,72,2.2666666666666666
10,73,1.7
10,74,0.55
10,75,-0.06666666666666667
10,76,1.9166666666666667
11,77,0.6166666666666667
11,78,1.0166666666666666
11,79,1.8833333333333333
11,80,-0.25
11,81,2.05
11,82,0.95
11,83,-0.48333333333333334
12,84,0.48333333333333334
12,85,0.13333333333333333
12,86,2.1
12,87,0.5166666666666667
12,88,-0.31666666666666665
12,89,-0.7333333333333333
12,90,-0.23333333333333334
13,91,0.7333333333333333
13,92,1.3
13,93,0.26666666666666666
13,94,-0.7
13,95,1.8666666666666667
13,96,2.533333333333333
13,97,-0.8
14,98,2.15
14,99,1.7
14,100,-0.35
14,101,-0.9333333333333333
14,102,-0.8666666666666667
14,103,2.816666666666667
14,104,0.016666666666666666
15,105,0.23333333333333334
15,106,0.9833333333333333
15,107,1.5
15,108,2.216666666666667
15,109,2.1
15,110,2.716666666666667
15,111,2.683333333333333
16,112,0.45
16,113,-0.7
16,114,1.95
16,115,0.43333333333333335
16,116,1.8666666666666667
16,117,-0.85
16,118,2.3833333333333333
17,119,2.466666666666667
17,120,1.25
17,121,-0.8166666666666667
17,122,-0.45
17,123,2.15
17,124,2.716666666666667
17,125,1.6
18,126,-0.7166666666666667
18,127,-0.36666666666666664
18,128,-0.18333333333333332
18,129,1.35
18,130,-0.4
18,131,0.5
18,132,0.06666666666666667
19,133,0.4166666666666667
19,134,-0.9833333333333333
19,135,0.95
19,136,0.18333333333333332
19,137,1.5666666666666667
19,138,-0.6333333333333333
19,139,-0.15
20,140,0.03333333333333333
20,141,0.016666666666666666
20,142,-0.26666666666666666
20,143,0.25
20,144,0.5333333333333333
20,145,-0.13333333333333333
20,146,0.9666666666666667
21,147,-0.3
21,148,-0.55
21,149,-0.25
21,150,-1.1
21,151,-0.7166666666666667
21,152,1.6
21,153,0.3333333333333333
22,154,0.4166666666666667
22,155,1.1
22,156,-0.95
22,157,0.8333333333333334
22,158,1.3833333333333333
22,159,2.1666666666666665
22,160,1.1666666666666667
23,161,1.9666666666666666
23,162,1.65
23,163,0.31666666666666665
23,164,3.033333333333333
23,165,2.5
23,166,1.4333333333333333
23,167,0.6833333333333333
24,168,0.26666666666666666
24,169,2.033333333333333
24,170,2.1
24,171,-0.6
24,172,-0.6666666666666666
24,173,-0.21666666666666667
24,174,0.8333333333333334
25,175,1.0
25,176,-0.31666666666666665
25,177,0.9166666666666666
25,178,1.8666666666666667
25,179,2.433333333333333
25,180,0.15
